,anakjakartaasikasik,anak jakarta asyik asyik baru
3369,nabis,nabi
3370,nabinabiafrika,nabi nabi afrika
3371,nbla,nabila
3372,nagitaslavina,nagita slavina
3373,naa,nah
3374,naah,nah
3375,naahh,nah
3376,nach,nah
3377,nakan,nah kan
3378,nahloh,nah loh
3379,napiternya,nah pintarnya
3380,nahdatul,nahdlatul ulama
3381,nahdlatululama,nahdlatul ulama
3382,nahdlyin,nahdliyin
3383,nahin,nahi
3384,naekin,naikan
3385,naikin,naikan
3386,naiking,naikan
3387,naikkan,naikan
3388,nenggolan,nainggolan
3389,nairn,nairn
3390,nadjib,najib
3391,najiss,najis
3392,nakalbolehgoblokjangan,nakal boleh goblok jangan
3393,nakal2an,nakal nakalan
3394,nam,nama
3395,name,nama
3396,namo,nama
3397,nama2,nama nama
3398,namakurudy,namaku rudy
3399,namannya,namanya
3400,namany,namanya
3401,namax,namanya
3402,namnya,namanya
3403,nanatsunotaizai,nanatsu no taizai
3404,nangke,nangka
3405,nati,nanti
3406,natilloh,nanti loh
3407,narsum,narasumber
3408,nas5,nasa
3409,nasbung,nasi bungkus
3410,nasiib,nasib
3411,national,nasional
3412,nasdem,nasional demokrat
3413,nationalist,nasionalis
3414,nasomalisdan,nasionalisme dan
3415,nashrani,nasrani
3416,nataal,natal
3417,natalius,natalia
3418,natrep,nature republic
3419,naudzubillahmindzalik,naudzubillahimindzalik
3420,naufalyn,naufal
3421,ncebi,ncbi
3422,negra,negara
3423,negarahukum,negara hukum
3424,negara2,negara negara
3425,negarany,negaranya
3426,negati,negatif
3427,nethink,negative thinking
3428,negeti,negeri
3429,negisiasi,negosiasi
3430,neekk,nek
3431,nenek2,nenek nenek
3432,newshighlightkbfm,news highlight
3433,nex,next
3434,nex7,next
3435,ngakakk,ngakak
3436,ngamfrak,ngamprah
3437,ngamuk2,ngamuk ngamuk
3438,ngata2in,ngata ngatai
3439,ngata2innya,ngata ngatainnya
3440,ngacoo,ngawur
3441,neue,ngewe
3442,neeh,nih
3443,neehh,nih
3444,morning,pagi
3445,ngasik,pagi
3446,mudeng,paham
3447,most,paling
3448,mostly,paling banyak
3449,newbie,pemula
3450,newbienya,pemula
3451,nfollowers,pengikut
3452,moodbooster,penyemangat
3453,moodboster,penyemangat
3454,mudbus,penyemangat
3455,nbanyakin,perbanyak
3456,move,pindah
3457,mpret,pret
3458,muter2,puter puter
3459,munyeng,puyeng
3460,ndang,segera
3461,nbye,selamat tinggal
3462,nend,selesai
3463,msemiforntt,semi front april
3464,mugi,semoga
3465,mwaa,semu
3466,muah2nya,semua semuanya
3467,ndewek,sendiri
3468,mood,suasana hati
3469,moodmu,suasana hati kamu
3470,moodnya,suasana hatinya
3471,ndah,sudah
3472,nai,tai
3473,nambah2,tambah tambah
3474,nampang,tampang
3475,namapon,tampon
3476,nanggep,tanggap
3477,neg,tawar
3478,nega,tega
3479,ndhog,telur
3480,ndok,telur
3481,nempo,tempo
3482,ndda,tidak
3483,nengga,tidak
3484,ndakda,tidak ada
3485,ngada,tidak ada
3486,ndabisa,tidak bisa
3487,ngabisa,tidak bisa
3488,ngaboleh,tidak boleh
3489,ngajelas,tidak jelas
3490,ngakuadh,tidak kuat
3491,ngakuat,tidak kuat
3492,moh,tak mau
3493,ngausah,tidak usah
3494,ngayah,tidak ya
3495,mouse,tikus
3496,nbantuin,tolong bantu
3497,money,uang
3498,ncamsex,video camera sex
3499,mv,video musik
3500,mvnya,video musiknya
3501,nawaatona,waatona
3502,netijen,warganet
3503,netizen,warganet
3504,neklwkwowkwkwkk,wkwk
3505,ngakakakakaka,wkwk
3506,neealahh,yaelah
3507,safe,aman
3508,sampeyan,anda
3509,samlekom,assalamualaykum
3510,saik,asyik
3511,seizin,atas izin
3512,seksyen,bagian
3513,seberapapun,berapapun
3514,saudaraan,bersaudara
3515,sepedaan,bersepeda
3516,selfie2,berswafoto
3517,search,cari
3518,sempreng,cempreng
3519,sallary,gaji
3520,sangean,gampang sange
3521,saikho,gila
3522,screenshotan,hasil screenshot
3523,scren,layar
3524,rruarr,luar
3525,sabodo,masa bodoh
3526,searching,mencari
3527,sakiti,menyakiti
3528,salami,menyalami
3529,sambangi,menyambangi
3530,samperin,menyamperi
3531,sanggupi,menyanggupi
3532,sarani,menyarankan
3533,saranin,menyarankan
3534,sarankan,menyarankan
3535,sebut2,menyebut
3536,sepakati,menyepakati
3537,setujui,menyetujui
3538,rugiin,merugikan
3539,rusakin,merusaki
3540,rusuhin,merusuhi
3541,russian,orang rusia
3542,servicepara,pelayanannya parah
3543,sendernya,pengirimnya
3544,sellernya,penjualnya
3545,rribantensiangini,radio republik indonesia banten siang ini
3546,ruu,rancangan undang undang
3547,ruumasyarakatadat,rancangan undang undang masyarakat adat
3548,roudhatulkutub,raudhatul kutub
3549,rpl,rekayasa perangkat lunak
3550,rrc,republik rakyat cina
3551,rrt,republik rakyat tiongkok
3552,romen,roman
3553,roman2nye,roman romannya
3554,rumours,romor
3555,rot,root
3556,rostchild,rothschild
3557,ruas2,ruas ruas
3558,rudygoni,rudy goni
3559,rukn,rukun
3560,rukum,rukun
3561,rw,rukun warga
3562,rumahbelajarsianjurmulamula,rumah belajar si anjur mula mula
3563,rumah2,rumah rumah
3564,rs,rumah sakit
3565,rsj,rumah sakit jiwa
3566,rssw,rumah sakit sumber waras
3567,rsup,rumah sakit umum pusat
3568,rusunawa,rumah susun sederhana sewa
3569,rutan,rumah tahanan
3570,rumahtangga,rumah tangga
3571,rumor2,rumor rumor
3572,rosak,rusak
3573,rushdie,rusdhi
3574,russia,rusia
3575,ruscro,rusia kroasia
3576,rusuh2,rusuh rusuh
3577,rudet,ruwet
3578,rymizard,ryamizard
3579,sabangmerauke,sabang merauke
3580,sabaarr,sabar
3581,sabarr,sabar
3582,sabr,sabar
3583,sabrangkidul,sabrang kidul
3584,sabtuceria,sabtu ceria
3585,sabtuminggu,sabtu minggu
3586,sdar,sadar
3587,sdr,sadar
3588,sadarin,sadarkan
3589,sadizz,sadis
3590,sadrist,sadis
3591,saah,sah
3592,sah2,sah sah
3593,sahabah,sahabat
3594,sahabat2,sahabat sahabat
3595,sajaâ,saja
3596,sajah,saja
3597,sajahh,saja
3598,sajaian,saja
3599,sakaw,sakau
3600,sakit2,sakit sakit
3601,sakitnya,sakitnya
3602,sakitnyaditelor,sakitnya di telor
3603,salafism,salafisme
3604,salahguna,salah guna
3605,salahbsatu,salah satu
3606,salahin,salahkan
3607,sallam,salam
3608,salambudaya,salam budaya
3609,salam2jari,salam dua jari
3610,salam2periode,salam dua periode
3611,salam2tahun,salam dua tahun
3612,salken,salam kenal
3613,salamu,salammu
3614,saleem,salim
3615,salute,salut
3616,samrisetharian,sam riset harian
3617,samaa,sama
3618,samanya,sama
3619,same,sama
3620,sarua,sama
3621,sama2,sama sama
3622,samasekali,sama sekali
3623,samsek,sama sekali
3624,samain,samakan
3625,samakn,samakan
3626,sabhara,samapta bhayangkara
3627,sambunvan,sambungan
3628,sampai2,sampai sampai
3629,sampe2,sampai sampai
3630,sampaen,sampan
3631,sampin,samping
3632,samuelasetmanajemen,samual aset manajemen
3633,sandan,sandang
3634,sandingkn,sandingkan
3635,sadiwara,sandiwara
3636,sangarr,sangar
3637,sangad,sangat
3638,sangat2,sangat sangat
3639,sangek,sange
3640,sangeaah,sange ah
3641,sangeberat,sange berat
3642,sangenahna,sange tak tertahan
3643,sangup,sanggup
3644,sanjung2,sanjung sanjung
3645,santamaria,santa maria
3646,satri,santri
3647,saber,sapu bersih
3648,saracaen,saracen
3649,sarachen,saracen
3650,sarahah,sarah
3651,saran2,saran saran
3652,saari,sari
3653,sari2,sari sari
3654,sachet,saset
3655,sastera,sastra
3656,santanicverse,satanic verse
3657,satriamadu,satria muda
3658,sati,satu
3659,satuu,satu
3660,seinci,satu inci
3661,seitansai,satu instansi
3662,satu2,satu satu
3663,satu2nya,satu satunya
3664,setim,satu tim
3665,satlinmas,satuan perlindungan masyarakat
3666,satpol,satuan polisi
3667,satgas,satuan tugas
3668,satukanindonesia,satukan indonesia
3669,saudra,saudara
3670,sdra,saudara
3671,sedulur,saudara
3672,sedulurngaji,saudara mengaji
3673,sedulurngajijombang,saudara mengaji jombang
3674,sedulurngajikotabatu,saudara mengaji kota batu
3675,saudara2,saudara saudara
3676,sedulur2,saudarah saudara
3677,sdri,saudari
3678,saveghouta,save ghouta
3679,savekpk,save komisi pemberantasan korupsi
3680,savenu,save nahdlatul ulama
3681,savepalestina,save palestina
3682,saverohingya,save rohingya
3683,saveustadalfian,save ustaz alfian
3684,sawerandirmanida,saweran dirman ida
3685,saweranjateng,saweran jawa tengah
3686,saynk,sayang
3687,sayaang,sayang
3688,sayangghh,sayang
3689,sayank,sayang
3690,sayangkuu,sayangku
3691,sayangnya,sayangnya
3692,sayapnya,sayapnya
3693,sayyid,sayid
3694,scars,scar
3695,scarjo,scarlett johansson
3696,seabadi,seabad
3697,seakan2,seakan akan
3698,seandai,seandainya
3699,serching,searching
3700,seasem,seasam
3701,sebabaduy2018,seba baduy 
3702,sebb,sebab
3703,sebaga,sebagai
3704,sbagaimana,sebagaimana
3705,sbgm,sebagaimana
3706,sbgn,sebagian
3707,sebagi,sebagian
3708,sebahagian,sebagian
3709,sebaik2nya,sebaik baiknya
3710,sbaliknya,sebaliknya
3711,sbnyk,sebanyak
3712,sebanyak2,sebanyak banyak
3713,sebarluaskan,sebarkan
3714,sebwah,sebawah
3715,sbelom,sebelum
3716,sbelum,sebelum
3717,sebekum,sebelum
3718,sebelom,sebelum
3719,seblm,sebelum
3720,seblum,sebelum
3721,sebelumndi,sebelum mandi
3722,sblumnya,sebelumnya
3723,sakjane,sebenarnya
3724,sbtlnye,sebenarnya
3725,sebenar,sebenarnya
3726,sebenarny,sebenarnya
3727,sebenarx,sebenarnya
3728,seberulnya,sebenarnya
3729,sebetulnya,sebenarnya
3730,sbenarnya,sebenarnya
3731,sbnernya,sebenarnya
3732,sebenranya,sebenarnya
3733,sakedap,sebentar
3734,satgi,sebentar
3735,sebrang,seberang
3736,sababaraha,seberapa
3737,seberat2nya,seberat beratnya
3738,segede,sebesar
3739,sehelm,sebesar helm
3740,sbisa,sebisa
3741,sbuah,sebuah
3742,sbut,sebut
3743,sbutan2,sebutan sebutan
3744,sbutkan,sebutkan
3745,sebutin,sebutkan
3746,scara,secara
3747,scra,secara
3748,scptnya,secepatnya
3749,secepetnya,secepatnya
3750,secur,secure
3751,secuity,security
3752,sekurity,security
3753,sdang,sedang
3754,sedanq,sedang
3755,sedara,sedarah
3756,sedekahbumi,sedekah bumi
3757,sedeket,sedekat
3758,sediain,sediakan
3759,sedi,sedih
3760,sedihh,sedih
3761,sdikit,sedikit
3762,sedikir,sedikit
3763,saenaknya,seenaknya
3764,sagala,segala
3765,sgla,segala
3766,sglnya,segalanya
3767,seger,segar
3768,sgera,segera
3769,segerombolan,segerombol
3770,segitu2,segitu segitu
3771,sgtunya,segitunya
3772,segregation,segregasi
3773,segerasimpr2017,segregasi majelis permusyawaratan rakyat 
3774,seharus,seharusnya
3775,seharusna,seharusnya
3776,sehak,sehat
3777,sehat2,sehat sehat
3778,sehi,sehina
3779,seinget,seingat
3780,seingetku,seingatku
3781,sejhtera,sejahtera
3782,sejahterahkan,sejahterakan
3783,sejahterakn,sejahterakan
3784,seja,sejak
3785,sejabar,sejawa barat
3786,sejelek2nya,sejelek jeleknya
3787,sekedarnya,sekadarnya
3788,seekali,sekali
3789,sekali2,sekali kali
3790,sekaliaan,sekalian
3791,saiki,sekarang
3792,sekarg,sekarang
3793,sekarnag,sekarang
3794,sekrang,sekarang
3795,sekrng,sekarang
3796,sekarang2,sekarang sekarang
3797,sekate2,sekata kata
3798,sekebon,sekebun
3799,sekelibet,sekelumit
3800,sekenario,sekelumit
3801,sd,sekolah dasar
3802,sekolahdasar,sekolah dasar
3803,sdn,sekolah dasar negeri
3804,seklh2,sekolah sekolah
3805,sekolah2,sekolah sekolah
3806,sekolaan,sekolahan
3807,sekolahin,sekolahkan
3808,sekolahku,sekolahku
3809,setwantimpres,sekretariat dewan pertimbangan presiden
3810,sekjen,sekretariat jenderal
3811,sekjenya,sekretariat jenderalnya
3812,setkabakhirpekan,sekretariat kabinet akhir pekan
3813,sekertaris,sekretaris
3814,sektariannizrm,sektarianisme
3815,sekta,sekte
3816,sektor2,sektor sektor
3817,sekuatnyaa,sekuatnya
3818,sekular,sekuler
3819,sekukerisme,sekulerisme
3820,selkulit,sel kulit
3821,sel2,sel sel
3822,salalu,selalu
3823,selamanyaku,selamanya aku
3824,selamatharikartini,selamat hari kartini
3825,selametan,selamatan
3826,selamatkenhutan,selamatkan hutan
3827,selamatkannkri,selamatkan negara kesatuan republik indonesia
3828,selamatkanulama,selamatkan ulama
3829,selegkahan,selangkangan
3830,selanjuttnya,selanjutnya
3831,selapajang,selapangan
3832,selebih,selebihnya
3833,seleb,selebriti
3834,selebgram,selebriti instagram
3835,salebtuit,selebtwit
3836,sbmptn,seleksi bersama masuk perguruan tinggi negeri
3837,selesei,selesai
3838,selesai2,selesai selesai
3839,selesaiin,selesaikan
3840,selimutin,selimuti
3841,selipin,selipkan
3842,semacem,semacam
3843,semakan,semakin
3844,semakinhari,semakin hari
3845,semalamâ,semalaman
3846,semaleman,semalaman
3847,semangaatt,semangat
3848,semangatpuasa,semangat puasa
3849,semarangâ,semarang
3850,semata2,semata mata
3851,sekarepmu,semaumu
3852,sembaah,sembah
3853,sembah2,sembah sembah
3854,sembelehin,sembelihkan
3855,sembuh2,sembuh sembuh
3856,semnjak,semenjak
3857,semntara,sementara
3858,sempa,sempat
3859,sempaat,sempat
3860,sempet2nya,sempat sempatnya
3861,semprt,semprot
3862,semprull,semprul
3863,semuah,semua
3864,semwa,semua
3865,segampang,semudah
3866,semulajadi,semula jadi
3867,semit,semut
3868,senyam,senam
3869,senng,senang
3870,senang2,senang senang
3871,senengnye,senangnya
3872,senantias,senantiasa
3873,sendir,sendiri
3874,sendr,sendiri
3875,sendrri,sendiri
3876,sendirii,sendiri
3877,sendiri2,sendiri sendiri
3878,sengk,sengak
3879,senpi,senjata api
3880,sensitiviti,sensitivitas
3881,sentilin,sentil
3882,senyama,senyaman
3883,senyum2,senyum senyum
3884,senyumin,senyumi
3885,senyumx,senyumnya
3886,seokjin,seok jin
3887,seolah2,seolah olah
3888,seorangâ pahlawan,seorang pahlawan
3889,sepakbola,sepak bola
3890,separo,separuh
3891,separoh,separuh
3892,sepata,sepatah
3893,sepernt,seperintah
3894,sepeti,seperti
3895,seprt,seperti
3896,seprti,seperti
3897,sepertimana,seperti yang mana
3898,sepoy2,sepoi sepoi
3899,sepongkon,sepong kontol
3900,sepongkontol,sepong kontol
3901,sepotong2,sepotong sepotong
3902,sept,september
3903,septictank,septic tank
3904,seragamnye,seragamnya
3905,sertijab,serah terima jabatan
3906,serahkn,serahkan
3907,saram,seram
3908,serbuu,serbu
3909,serentakâ 2018,serentak 
3910,sering2,sering sering
3911,serienya,serinya
3912,seriously,serius
3913,seriusan,serius
3914,seriuus,serius
3915,seriusnyinyir,serius nyinyir
3916,sertaâ,serta
3917,sertifikatanahjkw,sertifikat tanah jokowi
3918,sesu,sesi
3919,sesimple,sesimpel
3920,sesuatunya,sesuatu
3921,setau,sepengetahuan
3922,setauku,sepengetahuanku
3923,setanalas,setan alas
3924,setan2,setan setan
3925,setabak,setarbak
3926,setegak2nya,setegak tegaknya
3927,setelaj,setelah
3928,setelahnya,setelahnya
3929,sesetengah,setengah
3930,sefamous,seterkenal
3931,setiamelayanijakarta,setia melayani jakarta
3932,setiausaha,setia usaha
3933,settingan,setingan
3934,setorang,setoran
3935,setuja,setuju
3936,setujunya,setuju
3937,setujuu,setuju
3938,setnov,setya novanto
3939,setyanovanto,setya novanto
3940,saumur,seumur
3941,sewajarny,sewajarnya
3942,sexynyaa,sexynya
3943,salom,shalom
3944,saha,siapa
3945,sesiapa,siapa
3946,seswe,siswi
3947,schema,skema
3948,sbek,sobek
3949,sdm,sumber daya manusia
3950,sbbsnsn,surat berharga syariah negara
3951,sby,susilo bambang yudhoyono
3952,selfi,swafoto
3953,selfie,swafoto
3954,selpi,swafoto
3955,screentimenya,waktu menontonnya
3956,slga,alga
3957,smburdul,amburadul
3958,share,bagikan
3959,smak,banting
3960,sok2an,belagu
3961,shopping,belanja
3962,sharinghappiness,berbagi kebahagiaan
3963,smstan,berkirim sms
3964,slek,bermusuhan
3965,sinareng,bersama
3966,sodaraan,bersaudara
3967,shone,bersinar
3968,talanted,bertalenta
3969,songsang,bertentangan
3970,stupid,bodoh
3971,sob,bro
3972,sobss,bro
3973,syantik,cantik
3974,tantik,cantik
3975,sisitipsi,cctv
3976,story,cerita
3977,shegiya,chagiya
3978,sounding2,dengar dengar
3979,sigunakan,digunakan
3980,sholatin,disalatkan
3981,stail,gaya
3982,stile,gaya
3983,style,gaya
3984,shshhs,hem
3985,sidak,inspeksi mendadak
3986,srael,israel
3987,sidoi,jadikan
3988,shortcut,jalan pintas
3989,sontoloyer,kaum sontoloyo
3990,sq,kecerdasan spiritual
3991,shame,kecewa
3992,shameonyou,kecewa padamu
3993,shameonyousby,kecewa padamu susilo bambang yudhoyono
3994,strengthnya,kekuatannya
3995,slepet,kepret
3996,slim,kurus
3997,sue,lama
3998,suee,lama
3999,suwi,lama
4000,sipitan,lebih sipit
4001,soft,lembut
4002,sorry,maaf
4003,snack,makanan ringan
4004,snek,makanan ringan
4005,society,masyarakat
4006,sosayeti,masyarakat
4007,sosmed,media sosial
4008,sistemik,mempengaruhi seluruh sistem
4009,takut2i,menakuti
4010,takut2inya,menakutinya
4011,tandingi,menandingi
4012,tangisi,menangisi
4013,skripsian,mengerjakan skripsi
4014,showeran,menggunakan shower
4015,stalking2,mengintai
4016,syiah2ahkan,mensyiahkan
4017,sikapi,menyikapi
4018,stray,menyimpang
4019,sofil,mesofil
4020,sminimal,minimal
4021,supporternya,pendukungnya
4022,subeyers,pengikut susilo bambang yudhoyono
4023,striker,penyerang
4024,statemen,pernyataan
4025,statement,pernyataan
4026,steitmen,pernyataan
4027,statementny,pernyataannya
4028,stock,persediaan
4029,stocknya,persediaannya
4030,singgahan,persinggahan
4031,smart,pintar
4032,spuas,puas
4033,shaum,puasa
4034,shah,sah
4035,ssham,saham
4036,shahih,sahih
4037,slaahin,salahkan
4038,slaam,salam
4039,shalat,salat
4040,shalatu,salat
4041,sholat,salat
4042,shalatjumat,salat jumat
4043,soljum,salat jumat
4044,shaleh,saleh
4045,shalih,saleh
4046,sholeh,saleh
4047,soleh,saleh
4048,spg,sales promotion girl
4049,soleha,salihah
4050,solehah,salihah
4051,shallallaahu,sallallahu alaihi wasallam
4052,smaa,sama
4053,sm2,sama sama
4054,smpah,sampah
4055,smpek,sampai
4056,sonoh,sana
4057,songo,sanga
4058,sngat,sangat
4059,snge,sange
4060,sodar,saudara
4061,soudara,saudara
4062,sodara2,saudara saudara
4063,sudara2,saudara saudara
4064,sodaranya,saudaranya
4065,syaa,saya
4066,syang,sayang
4067,ss,screenshoot
4068,sodakoh,sedekah
4069,shrnya,seharusnya
4070,shrs,seharusnya
4071,shrsnya,seharusnya
4072,shg,sehingga
4073,shingga,sehingga
4074,since,sejak
4075,sjk,sejak
4076,sjrah,sejarah
4077,sjumlah,sejumlah
4078,skdr,sekadar
4079,skak,sekak
4080,skakmat,sekakmat
4081,skl,sekali
4082,skli,sekali
4083,sisan,sekalian
4084,skaligus,sekaligus
4085,sklgs,sekaligus
4086,sklinya,sekalinya
4087,skng,sekarang
4088,skian,sekian
4089,skt,sekitar
4090,sktr,sekitar
4091,skulah,sekolah
4092,swkolah,sekolah
4093,sman,sekolah menengah atas negeri
4094,smk,sekolah menengah kejuruan
4095,smp2019,sekolah menengah pertama 
4096,smpn,sekolah menengah pertama negeri
4097,slain,selain
4098,slama,selama
4099,slma,selama
4100,shalawat,selawat
4101,slengkapnya,selengkapnya
4102,slsai,selesai
4103,slesaikan,selesaikan
4104,slsaikan,selesaikan
4105,slrh,seluruh
4106,slruh,seluruh
4107,slusup,selusup
4108,smkin,semakin
4109,smkn,semakin
4110,ssemangatpagi,semangat pagi
4111,smasa,semasa
4112,smaunya,semaunya
4113,smntara,sementara
4114,smntra,sementara
4115,smntarany,sementaranya
4116,smestinya,semestinya
4117,smpurna,sempurna
4118,sumingrah,semringah
4119,smanya,semuanya
4120,skj,senam kesehatan jasmani
4121,smirk,senyum menyeringai
4122,spanjang,sepanjang
4123,sparatis,separatis
4124,spemkiirannya,sepemikiranya
4125,speti,seperti
4126,sprtinya,sepertinya
4127,sptnya,sepertinya
4128,sptr,seputar
4129,syarwan,seriawan
4130,spsi,serikat pekerja seluruh indonesia
4131,sring,sering
4132,shm,sertifikat hak milik
4133,sruput,seruput
4134,ssk,sesak
4135,ssat,sesat
4136,ssuai,sesuai
4137,stb,set top box
4138,syaiton,setan
4139,syaitonn,setan
4140,syetan,setan
4141,syetann,setan
4142,stimpal,setimpal
4143,stir,setir
4144,stuju,setuju
4145,syallom,shalom
4146,sif,shift
4147,siha,shihab
4148,sihab,shihab
4149,syihaab,shihab
4150,syihab,shihab
4151,shintadwi05,shinta
4152,sholaatu,sholatu
4153,sholah,sholatu
4154,sianying,si anjing
4155,sianu,si anu
4156,sibabi,si babi
4157,sibayik,si bayi
4158,sicario,si cario
4159,sicepat,si cepat
4160,sicepatberkualitas,si cepat berkualitas
4161,sindut,si gendut
4162,sigoblok,si goblok
4163,sikribo,si kribo
4164,simulut,si mulut
4165,sipenista,si penista
4166,sireena,si reena
4167,sitante,si tante
4168,sia2,sia sia
4169,siaall,sial
4170,siall,sial
4171,siel,sial
4172,syial,sial
4173,sialaan,sialan
4174,siaap,siap
4175,siapp,siap
4176,siyaap,siap
4177,siyaph,siap
4178,siapsableng,siap sableng
4179,siap2,siap siap
4180,siape,siapa
4181,siapaaniessandi,siapa anies sandi
4182,siapepun,siapapun
4183,sidangahok,sidang ahok
4184,shiddiq,sidik
4185,shidiq,sidik
4186,siddiq,sidik
4187,sidomuncul,sido muncul
4188,sidoharjo,sidoarjo
4189,sidogirimedia,sidogiri media
4190,sifatnys,sifatnya
4191,silipis,sifilis
4192,sihh,sih
4193,sii,sih
4194,siichh,sih
4195,sik,sih
4196,sikap2,sikap sikap
4197,sikapny,sikapnya
4198,sikahkan,silahkan
4199,silahkan,silakan
4200,silap2,silap silap
4201,sihite,silit
4202,silvi,silvy
4203,silvyy,silvy
4204,simakrama,sima krama
4205,symphony,simfoni
4206,sinaronline,sinar online
4207,sndr,sindir
4208,sindir2,sindir sindir
4209,sindroma,sindrom
4210,syndrome,sindrom
4211,sinergibumn,sinergi badan usaha milik negara
4212,singo,singa
4213,singapore,singapura
4214,singapur,singapura
4215,sinbiy,sinis
4216,signal,sinyal
4217,sib,sip
4218,sifit,sipit
4219,sipitin,sipit
4220,sisa2,sisa sisa
4221,sikda,sistem informasi kesehatan daerah
4222,sistem2,sistem sistem
4223,systeamnya,sistemnya
4224,systemnya,sistemnya
4225,sisturr,sister
4226,stu,situ
4227,sikon,situasi kondisi
4228,skillab,skill lab
4229,sleeves,sleeve
4230,smesco,small and medium enterprises and cooperatives
4231,smashblast,smash blast
4232,smashisback,smash is back
4233,smswa,sms whats app
4234,soklin,so klin
4235,somin,so min
4236,sidomi,sodomi
4237,sodorin,sodori
4238,suharto,soeharto
4239,sukano,soekarno
4240,sukarno,soekarno
4241,soekarnoputri,soekarno putri
4242,sukarnoputri,soekarno putri
4243,soignã,soigne
4244,sotipu,sok menipu
4245,sok2,sok sok
4246,sotau,sok tau
4247,sotooy,sok tau
4248,sotta,sok tau
4249,solerout,soler out
4250,ssd,solid state drive
4251,solvability,solvabilitas
4252,soplak,somplak
4253,sooman,soo man
4254,soonyoung,soon young
4255,sorre,sore
4256,social,sosial
4257,sosialâ malaysia,sosialita malaysia
4258,sovyet,soviet
4259,special,spesial
4260,spesis,spesies
4261,specific,spesifik
4262,specifik,spesifik
4263,spek,spesifikasi
4264,spiderman,spider man
4265,spidermen,spider man
4266,spiritofdiversity,spirit for diversity
4267,spiritgn,spirit gebyar nusantara
4268,sportifitas,sportivitas
4269,srimulyani,sri mulyani
4270,sriyonoyn,sri yono
4271,sstt,sst
4272,stabilkan,stabilkan
4273,staff,staf
4274,stafsus,staf khusus
4275,stagan,stagnan
4276,standup,stand up
4277,staguf,staquf
4278,strabuck,starbucks
4279,sta,stasiun
4280,statust,status
4281,stereotif,stereotip
4282,stereotipenya,stereotipnya
4283,stopcomparingmyselftoother,stop comparing my self to other
4284,stophoax,stop hoaks
4285,stopkriminalisasiulama,stop kriminalisasi ulama
4286,stoptkachina,stop tenaga kerja asing cina
4287,strategicactionteam,strategic action team
4288,street1,street
4289,stress,stres
4290,striped,stripped
4291,stoke,strok
4292,stroke,strok
4293,suara2,suara suara
4294,swt,subhanahu wa taala
4295,subsidisilangkonten,subsidi silang konten
4296,subu,subuh
4297,sudahq,sudah
4298,sudirmanida,sudirman ida
4299,sudrajatsyaikhu,sudrajat syaikhu
4300,skaa,suka
4301,sukak,suka
4302,suke,suka
4303,syukaa,suka
4304,suka2,suka suka
4305,skskkajanx,suka suka kamu saja anjing
4306,sukanyaa,sukanya
4307,sukmo,sukma
4308,sukamwati,sukmawati
4309,sukmakumati,sukmawati
4310,sukmawati,sukmawati
4311,success,sukses
4312,suksreb,sukses
4313,sukubangsa,suku bangsa
4314,slusap,sulap
4315,sulawasi,sulawesi
4316,sulsel,sulawesi selatan
4317,sulteng,sulawesi tengah
4318,sulidd,sulit
4319,sultans,sultan
4320,sumater,sumatra
4321,sumatera,sumatra
4322,sumsel,sumatra selatan
4323,sumut,sumatra utara
4324,sumut1,sumatra utara
4325,sumutbersih,sumatra utara bersih
4326,sumutpilih2djoss,sumatra utara pilih dua jos
4327,sumpa,sumpah
4328,sumpaah,sumpah
4329,swear,sumpah
4330,sum2,sumsum
4331,sundel,sundal
4332,sungailiat,sungai liat
4333,sunggu,sungguh
4334,suparj,suparji
4335,superâ,super
4336,superr,super
4337,supper,super
4338,suju,super junior
4339,superketat,super ketat
4340,superiorprinting,superior printing
4341,suply,supply
4342,suroboyo,surabaya
4343,surambray,suram bro
4344,sk,surat keputusan
4345,sko,surat keputusan otorisasi
4346,skck,surat keterangan catatan kepolisian
4347,spt,surat pemberitahuan tahunan
4348,sp3,surat perintah penghentian penyidikan
4349,spj,surat pertanggungjawaban
4350,surat2nya,surat suratnya
4351,surg,surga
4352,sriâ,suriah
4353,syria,suriah
4354,syriac,suriah
4355,suru,suruh
4356,survey,survei
4357,sshh,susah
4358,susehh,susah
4359,sush,susah
4360,susih,susah
4361,susiâ,susi
4362,susy,susi
4363,subeye,susilo bambang yudhoyono
4364,suudzon,suuzan
4365,suuzon,suuzan
4366,swamsembada,swasembada
4367,sweping,sweeping
4368,switi,sweety
4369,syafi,syafii
4370,syafie,syafii
4371,sjafruddin,syafruddin
4372,syaikhu,syaikhona
4373,syaykhunaa,syaikhuna
4374,syair2nya,syair syairnya
4375,syaitanir,syaithanir
4376,syakri,syakir
4377,sjamsuddin,syamsuddin
4378,syamsudin,syamsuddin
4379,syaret,syarat
4380,syarat2,syarat syarat
4381,syari,syariat
4382,syariah,syariat
4383,syariat2,syariat
4384,syariahwealthcoach,syariat wealth coach
4385,sheikh,syekh
4386,syeikh,syekh
4387,shi,syiah
4388,shia,syiah
4389,syi,syiah
4390,sihar,syiar
4391,sukuran,syukuran
4392,syukuran,syukuran
4393,syukrlah,syukurlah
4394,syuro,syura
4395,taawudz,taawuz
4396,tabayyun,tabayun
4397,tabligh,tablig
4398,tampol,tabok
4399,tadika,tadikan
4400,tagâ,tag
4401,tahanpenista,tahan penista
